"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","Sorry to interrupt you, sorry, I didn't -- I missed the last part. What the target is? 25% is what?",20,"Sorry to interrupt you, sorry, I didn't -- I missed the last part. What the target is? 25% is what?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","25% to 50% over the long -- over the strategic period in terms of conversion.This is not -- that this is not -- so it's conversion and its nonfuel growth margin is the percentage of the overall margin. In terms of our Saudi Arabia expansion, it is a f",161,"25% to 50% over the long -- over the strategic period in terms of conversion.
This is not -- that this is not -- so it's conversion and its nonfuel growth margin is the percentage of the overall margin. 
In terms of our Saudi Arabia expansion, it is a franchise model that we're going with, you're absolutely right in your observation. And what we have said is the opening of our sites to Saudi Arabia is that we wanted to actually position ourselves to with an operating license, which we have got, and we wanted to actually start to operate and to learn how to operate in Saudi Arabia. That is what the sites that we're opening will do. But it's through a franchise model. It [ can afford ], it has a minimum of CapEx. For us, it has obviously strong IROs but low absolute profitability when you have so to decide there is no downside risk to us there."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","So sorry -- just to add on this one, and I'll leave it for colleagues. So effectively, when you talk about franchise model ideally, its going to be either a percentage of profit or percentage of revenue, right, in terms of the income?[indiscernible] rathe",50,"So sorry -- just to add on this one, and I'll leave it for colleagues. So effectively, when you talk about franchise model ideally, its going to be either a percentage of profit or percentage of revenue, right, in terms of the income?[indiscernible] rather than the evaluation on the margin."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Correct. Yes, yes.",3,"Correct. Yes, yes."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","And is it just about the Saudi argument, too bad, with the current pricing model. And the distribution will not go in a very active model, given the current landscape with a ramp up pricing. Is it safe, I mean to assume that? And maybe, look at it, if [in",75,"And is it just about the Saudi argument, too bad, with the current pricing model. And the distribution will not go in a very active model, given the current landscape with a ramp up pricing. Is it safe, I mean to assume that? And maybe, look at it, if [indiscernible] could change in this then you will be considering a more full-fledged expansion into Saudi? Is it reasonable to just think about it like this?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Yes. I can not put -- I'll put it in a slightly different way, if I may, and I'm not trying to move things to that. We've said all along from an investment criteria perspective that we would look to have a 15% with IRR. And at [ 3- to 5-year ] payback on",110,"Yes. I can not put -- I'll put it in a slightly different way, if I may, and I'm not trying to move things to that. We've said all along from an investment criteria perspective that we would look to have a 15% with IRR. And at [ 3- to 5-year ] payback on our business in Saudi, and that is the investment views we would have. 
So I think it's safe to say that when we look at Saudi, we would have to have a number of business models. But today, the retail margin doesn't support it on its own. We would have to have a different business model."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","Our next question comes from Rita Guindy from Arqaam Capital.",10,"Our next question comes from Rita Guindy from Arqaam Capital."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","I have a few questions as well. The first relates to ADNOC flex. What penetration rates are you expecting for service refueling in 2019 and beyond? I see that we were 20% in the first quarter in Q3, I just would like to know what we see them at going forw",156,"I have a few questions as well. The first relates to ADNOC flex. What penetration rates are you expecting for service refueling in 2019 and beyond? I see that we were 20% in the first quarter in Q3, I just would like to know what we see them at going forward? 
The second question is on the number of patient additions, do you think we could revisit the number of patient additions and the UAE, given the demand dynamics in the UAE this year? Or are we still looking for a [indiscernible] stations per annum 2019 onwards? 
And then the next question is on CapEx? I believe, we said that from around $210 million of CapEx this year on around 13 stations, we were looking for up to 40% reduction and some construction cost per station next year so that would bring CapEx down to around $100 million to $120 million. Do you think that's achievable?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Okay. In terms of the penetration rate, we are -- we haven't given guidance on 2019. We're giving results on 2018. And what we're seeing, I can say is that the ADNOC flex penetration has improved the uptick on robotic sector is growing, but we haven't got",415,"Okay. In terms of the penetration rate, we are -- we haven't given guidance on 2019. We're giving results on 2018. And what we're seeing, I can say is that the ADNOC flex penetration has improved the uptick on robotic sector is growing, but we haven't got -- given a guidance for 2019 as yet. 
What we did do though, I mean, we were very clear that wanted to go in ADNOC flex at the top end of the range, which is why we went to [indiscernible ] that allows us to create a huge amount of optionality, not just to [indiscernible] the penetration rate as well, but also the opportunity for cost reduction around our business model [indiscernible] significant upside for 2019. 
In terms of [indiscernible] station addition. It's a great question, and I think we continuously revisit a number of stations we put on. We have our investment criteria that we come back to. And what we see as we grow our convenience stores and nonfuel business that actually increasing our station count as I reduce CapEx [indiscernible] a strong return still across the UAE. 
We are very mindful of the volume decline and [indiscernible] mindful of any congestin, [ et cetera ], across the business. 
So we are balancing those 2 at the moment, that we feel with -- especially with our [indiscernible] and our reduced model that there is still space for us to grow across the UAE, and of course, grow in particular across Dubai. 
Your third question on CapEx for $210 million in a guidance for next year remains below $200 million. Our 13 stations for sure. We see -- expect to see a reduced reduction in CapEx from those, and that will flow to a reduction in the overall CapEx budget. 
However, I would say somewhere in the region of $50 million to $60 million of our CapEx is, its maintenance and kind of ongoing CapEx, and therefore it is not old, new growth. 
So our guidance is trying to be -- we're trying to reduce our maintenance CapEx, but today, it's in the region of $50 million to $60 million. 
And we, I said earlier, putting in infrastructure projects as well to help reduce our overall cost of our net worth. But that as part of our CapEx budget, so our total CapEx budget is not [indiscernible] at new stations. Therefore, it wouldn't be accurate to take the 40% reduction on the [ total ] $200 million."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","Understood. And just a final question on the Corporate segment, do we or should we expect a recovery in the margs back to the low 20 from the 15% level we saw in Q3?",34,"Understood. And just a final question on the Corporate segment, do we or should we expect a recovery in the margs back to the low 20 from the 15% level we saw in Q3?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","The Corporate sector and the margin in  the Corporate sector is very linked to product mix and a little bit around seasonality in terms of our generation, et cetera. We would expect a normalized margins to be in [ 15% to 25%] range, somewhere in that rang",88,"The Corporate sector and the margin in  the Corporate sector is very linked to product mix and a little bit around seasonality in terms of our generation, et cetera. We would expect a normalized margins to be in [ 15% to 25%] range, somewhere in that range. 
It is very dependent on the market as we go. And we have changed our focus in our Corporate sector to very much being a gross -- profit gross margin at focused business rather than an overall volume for this business."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","We have no further questions on the line, or I'll hand back for any further remark.",16,"We have no further questions on the line, or I'll hand back for any further remark."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Yes, we have a question on Internet, on balance sheet and the operating cash flows being strong. Would you consider increasing your [indiscernible] guidance for 2019?",26,"Yes, we have a question on Internet, on balance sheet and the operating cash flows being strong. Would you consider increasing your [indiscernible] guidance for 2019?"
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Absolutely we'd always consider. I think, what we see -- and this is a board decision, so let me be very clear that -- but the strategy of the business is that we believe is a growth business, first and foremost, and we are looking at the opportunities, a",133,"Absolutely we'd always consider. I think, what we see -- and this is a board decision, so let me be very clear that -- but the strategy of the business is that we believe is a growth business, first and foremost, and we are looking at the opportunities, any number of opportunities. 
That said, we also recognize the dividends demand around business, and it is a conversation, I can promise you we've said at the outset, this would be progressive dividend policy. And the Board continue to have that conversation balancing the dividend with our growth agenda.
What is positive, I think, coming at the end of 9 months, and Petri talked of it, is that we have got a strong cash position, and we believe in time, we can do both."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","We have just one last question, which is on ADNOC flex. When will you roll out ADNOC flex in non-EBITDA restores. The answer is that we already have done [indiscernible].",30,"We have just one last question, which is on ADNOC flex. When will you roll out ADNOC flex in non-EBITDA restores. The answer is that we already have done [indiscernible]."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Yes. October 21.",3,"Yes. October 21."
20726319,591034376,1609027,"Abu Dhabi National Oil Company for Distribution PJSC, Q3 2018 Earnings Call, Nov 15, 2018",2018-11-15,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","So flex has been rolled out across all our network.",10,"So flex has been rolled out across all our network."
